Democrat Win %,Republican Win %
67.3,32.7
67.2,32.8
66.9,33.1
66.9,33.1
66.8,33.2
66.7,33.3
66.7,33.3
66.6,33.4
66.6,33.4
66.6,33.4
66.6,33.4
66.5,33.5
66.5,33.5
66.5,33.5
66.5,33.5
66.5,33.5
66.5,33.5
66.4,33.6
66.2,33.8
66.1,33.9
61.3,38.7
55.0,45.0
54.8,45.2
54.4,45.6
50.5,49.5
50.5,49.5
50.5,49.5
50.4,49.6
50.2,49.8
50.0,50.0
50.0,50.0
50.0,50.0
49.9,50.1
49.9,50.1
49.8,50.2
49.8,50.2
49.8,50.2
49.7,50.3
49.7,50.3
49.6,50.4
49.6,50.4
49.6,50.4
49.4,50.6
44.7,55.3
44.1,55.9
44.0,56.0
28.9,71.1
28.7,71.3
28.6,71.4
28.6,71.4
28.5,71.5
