state_name,votes,year,party
Alabama,813479.0,2008,dem
Alaska,0.0,2008,dem
Arizona,1034707.0,2008,dem
Arkansas,422310.0,2008,dem
California,8274473.0,2008,dem
Colorado,1288576.0,2008,dem
Connecticut,997772.0,2008,dem
Delaware,255459.0,2008,dem
District of Columbia,245800.0,2008,dem
Florida,4282074.0,2008,dem
Georgia,1844123.0,2008,dem
Hawaii,325201.0,2008,dem
Idaho,236440.0,2008,dem
Illinois,3419348.0,2008,dem
Indiana,1374039.0,2008,dem
Iowa,828940.0,2008,dem
Kansas,514765.0,2008,dem
Kentucky,751985.0,2008,dem
Louisiana,782989.0,2008,dem
Maine,421823.0,2008,dem
Maryland,1629467.0,2008,dem
Massachusetts,1904097.0,2008,dem
Michigan,2872579.0,2008,dem
Minnesota,1573354.0,2008,dem
Mississippi,554662.0,2008,dem
Missouri,1441947.0,2008,dem
Montana,231667.0,2008,dem
Nebraska,333319.0,2008,dem
Nevada,533736.0,2008,dem
New Hampshire,384826.0,2008,dem
New Jersey,2215422.0,2008,dem
New Mexico,472422.0,2008,dem
New York,4804701.0,2008,dem
North Carolina,2142651.0,2008,dem
North Dakota,141278.0,2008,dem
Ohio,2923149.0,2008,dem
Oklahoma,502496.0,2008,dem
Oregon,1037291.0,2008,dem
Pennsylvania,3276363.0,2008,dem
Rhode Island,373907.0,2008,dem
South Carolina,862449.0,2008,dem
South Dakota,167953.0,2008,dem
Tennessee,1087437.0,2008,dem
Texas,3528633.0,2008,dem
Utah,327670.0,2008,dem
Vermont,219262.0,2008,dem
Virginia,1958261.0,2008,dem
Washington,1750848.0,2008,dem
West Virginia,303857.0,2008,dem
Wisconsin,1676761.0,2008,dem
Wyoming,82868.0,2008,dem
Alabama,1266546.0,2008,gop
Alaska,0.0,2008,gop
Arizona,1230111.0,2008,gop
Arkansas,638017.0,2008,gop
California,5011781.0,2008,gop
Colorado,1073589.0,2008,gop
Connecticut,629428.0,2008,gop
Delaware,152374.0,2008,gop
District of Columbia,17367.0,2008,gop
Florida,4045624.0,2008,gop
Georgia,2048759.0,2008,gop
Hawaii,120429.0,2008,gop
Idaho,403012.0,2008,gop
Illinois,2031179.0,2008,gop
Indiana,1345648.0,2008,gop
Iowa,682379.0,2008,gop
Kansas,699655.0,2008,gop
Kentucky,1048462.0,2008,gop
Louisiana,1148275.0,2008,gop
Maine,295273.0,2008,gop
Maryland,959862.0,2008,gop
Massachusetts,1108854.0,2008,gop
Michigan,2048639.0,2008,gop
Minnesota,1275409.0,2008,gop
