fips,state_name,county_name,county,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,total_2020,dem_2020,gop_2020,diff_2020,per_dem_2020,per_gop_2020,per_point_diff_2020
26041,Michigan,Delta County,Delta County,19064.0,9974.0,8763.0,327.0,18043.0,8330.0,9533.0,180.0,18467.0,6431.0,11112.0,924.0,21151.0,7606.0,13207.0,5601.0,0.3596047468204813,0.6244149212803177,0.2648101744598364
48295,Texas,Lipscomb County,Lipscomb County,1256.0,155.0,1093.0,8.0,1168.0,119.0,1044.0,5.0,1322.0,135.0,1159.0,28.0,1353.0,131.0,1205.0,1074.0,0.0968218773096821,0.8906134515890614,0.7937915742793792
1127,Alabama,Walker County,Walker County,28652.0,7420.0,20722.0,510.0,28497.0,6551.0,21633.0,313.0,29243.0,4486.0,24208.0,549.0,31170.0,4834.0,26002.0,21168.0,0.1550850176451716,0.8341995508501765,0.6791145332050048
48389,Texas,Reeves County,Reeves County,3077.0,1606.0,1445.0,26.0,2867.0,1649.0,1185.0,33.0,3184.0,1659.0,1417.0,108.0,3687.0,1395.0,2254.0,859.0,0.3783563873067534,0.6113371304583672,0.2329807431516137
56017,Wyoming,Hot Springs County,Hot Springs County,2546.0,619.0,1834.0,93.0,2495.0,523.0,1894.0,78.0,2535.0,400.0,1939.0,196.0,2577.0,482.0,1999.0,1517.0,0.1870391928599146,0.775708187815289,0.5886689949553744
20043,Kansas,Doniphan County,Doniphan County,3564.0,1115.0,2372.0,77.0,3369.0,885.0,2397.0,87.0,3366.0,584.0,2601.0,181.0,3674.0,678.0,2949.0,2271.0,0.1845400108873162,0.8026673924877518,0.6181273816004355
37183,North Carolina,Wake County,Wake County,442245.0,250891.0,187001.0,4353.0,526805.0,286939.0,232933.0,6933.0,510940.0,298353.0,193607.0,18980.0,631830.0,393336.0,226197.0,-167139.0,0.6225345425193486,0.3580029438298276,-0.2645315986895209
37147,North Carolina,Pitt County,Pitt County,74884.0,40501.0,33927.0,456.0,76814.0,40701.0,35534.0,579.0,78264.0,40967.0,35191.0,2106.0,87573.0,47252.0,38982.0,-8270.0,0.5395726993479726,0.4451371998218629,-0.0944354995261096
48497,Texas,Wise County,Wise County,20639.0,4471.0,15973.0,195.0,20692.0,3219.0,17178.0,295.0,24661.0,3412.0,20655.0,594.0,32362.0,4973.0,27032.0,22059.0,0.1536678820839256,0.8353006612693901,0.6816327791854645
21207,Kentucky,Russell County,Russell County,7475.0,1569.0,5779.0,127.0,7907.0,1445.0,6346.0,116.0,8171.0,1093.0,6863.0,215.0,8955.0,1331.0,7519.0,6188.0,0.1486320491345617,0.83964265773311,0.6910106085985482
